year_month,year,month,month_name,transport_mode,total_trips,monthly_total_trips,mode_share
2020-01-01,2020,1,January,Bus,22130032.0,57098170.0,0.3875786561986137
2020-01-01,2020,1,January,Ferry,1522325.0,57098170.0,0.026661537488854723
2020-01-01,2020,1,January,Light Rail,2180906.0,57098170.0,0.038195725011852394
2020-01-01,2020,1,January,Metro,1865446.0,57098170.0,0.03267085442493166
2020-01-01,2020,1,January,Train,29399461.0,57098170.0,0.5148932268757475
2020-02-01,2020,2,February,Bus,25206493.0,60289465.0,0.4180911706547736
2020-02-01,2020,2,February,Ferry,1063308.0,60289465.0,0.01763671314714768
2020-02-01,2020,2,February,Light Rail,1950759.0,60289465.0,0.03235654852800568
2020-02-01,2020,2,February,Metro,1900095.0,60289465.0,0.03151620270639323
2020-02-01,2020,2,February,Train,30168810.0,60289465.0,0.5003993649636798
2020-03-01,2020,3,March,Bus,19191569.0,45048295.0,0.4260220947318872
2020-03-01,2020,3,March,Ferry,677265.0,45048295.0,0.015034198297627024
2020-03-01,2020,3,March,Light Rail,1264683.0,45048295.0,0.02807393709351264
2020-03-01,2020,3,March,Metro,1408500.0,45048295.0,0.031266444157320494
2020-03-01,2020,3,March,Train,22506278.0,45048295.0,0.49960332571965266
2020-04-01,2020,4,April,Bus,5504822.0,12186661.0,0.4517087986610935
2020-04-01,2020,4,April,Ferry,91230.0,12186661.0,0.007486053809160688
2020-04-01,2020,4,April,Light Rail,232032.0,12186661.0,0.01903983379860981
2020-04-01,2020,4,April,Metro,262852.0,12186661.0,0.02156882841001321
2020-04-01,2020,4,April,Train,6095725.0,12186661.0,0.5001964853211228
2020-05-01,2020,5,May,Bus,8549735.0,18970297.0,0.4506906244008726
2020-05-01,2020,5,May,Ferry,203728.0,18970297.0,0.010739315256898719
2020-05-01,2020,5,May,Light Rail,443833.0,18970297.0,0.02339620723913811
2020-05-01,2020,5,May,Metro,449327.0,18970297.0,0.0236858178867732
2020-05-01,2020,5,May,Train,9323674.0,18970297.0,0.4914880352163174
2020-06-01,2020,6,June,Bus,12386023.0,28093950.0,0.44087865892834577
2020-06-01,2020,6,June,Ferry,377351.0,28093950.0,0.013431753099866698
2020-06-01,2020,6,June,Light Rail,772279.0,28093950.0,0.0274891569181265
2020-06-01,2020,6,June,Metro,795627.0,28093950.0,0.028320225528984
2020-06-01,2020,6,June,Train,13762670.0,28093950.0,0.48988020552467704
2020-07-01,2020,7,July,Bus,13132371.0,30981173.0,0.42388230426265655
2020-07-01,2020,7,July,Ferry,463754.0,30981173.0,0.0149688974010119
2020-07-01,2020,7,July,Light Rail,994370.0,30981173.0,0.03209594420456579
2020-07-01,2020,7,July,Metro,943774.0,30981173.0,0.030462823341130433
2020-07-01,2020,7,July,Train,15446904.0,30981173.0,0.49859003079063535
2020-08-01,2020,8,August,Bus,13107189.0,29776835.0,0.4401807310951617
2020-08-01,2020,8,August,Ferry,369977.0,29776835.0,0.012424994127146153
2020-08-01,2020,8,August,Light Rail,965468.0,29776835.0,0.03242345937706274
2020-08-01,2020,8,August,Metro,948902.0,29776835.0,0.031867120867614035
