feature,importance
lag_1_demand,0.926262695518777
rolling_3m_avg,0.0263313728230932
rolling_6m_avg,0.0229682283948998
lag_3_demand,0.0080627105507957
avg_min_temp,0.0067618018894655
avg_max_temp,0.0021189128824344
rainy_days,0.0018913807258855
year,0.0013256674434143
month_num,0.0011744115401719
avg_rainfall_mm,0.0007590003871269
total_rainfall_mm,0.0007418467263447
season_Summer,0.0004133776301725
transport_mode_Train,0.000286194327888
quarter,0.0002416443354644
season_Autumn,0.0002171536517445
transport_mode_Bus,0.000176308595996
season_Winter,0.0001239207887536
season_Spring,6.614611010385483e-05
transport_mode_metro,2.417968383875113e-05
transport_mode_bus,1.879242407867664e-05
transport_mode_Light Rail,1.5867470738643116e-05
transport_mode_train,1.1276257846697856e-05
transport_mode_Metro,3.753287438522551e-06
transport_mode_Ferry,2.4142021537302476e-06
transport_mode_light rail,8.498904448202542e-07
transport_mode_ferry,4.9609486343908585e-08
transport_mode_unallocated,4.285144117097732e-08
