year_month,month_id,transport_mode,actual_demand,baseline_prediction,linear_regression_prediction,random_forest_prediction,rf_error,rf_abs_error,rf_abs_percentage_error,year,month,month_name,forecast_error_category
2025-01-01,2025-01,bus,17977339.0,18879816.0,18713885.48544157,20662430.808119565,-2685091.8081195652,2685091.8081195652,14.935980281172675,2025,1,January,Medium Forecast Error
2025-02-01,2025-02,bus,20531077.0,17977339.0,18772486.934921145,20726861.74550956,-195784.74550956115,195784.74550956115,0.9536019250697914,2025,2,February,Low Forecast Error
2025-03-01,2025-03,bus,22682915.0,20531077.0,22022815.63917327,20518284.617504757,2164630.382495243,2164630.382495243,9.542999136112988,2025,3,March,Low Forecast Error
2025-04-01,2025-04,bus,19448383.0,22682915.0,23261447.47751534,20971619.358739845,-1523236.3587398457,1523236.3587398457,7.832200542018559,2025,4,April,Low Forecast Error
2025-05-01,2025-05,bus,21038784.0,19448383.0,20179087.808343172,21317695.07053915,-278911.0705391504,278911.0705391504,1.3256995772148732,2025,5,May,Low Forecast Error
2025-06-01,2025-06,bus,19148041.0,21038784.0,21015512.499097586,21862808.146195058,-2714767.146195054,2714767.146195054,14.177780098732054,2025,6,June,Medium Forecast Error
2025-07-01,2025-07,bus,19403343.0,19148041.0,19174095.820921183,19444145.540346134,-40802.540346134454,40802.540346134454,0.2102861364978934,2025,7,July,Low Forecast Error
2025-08-01,2025-08,bus,19984809.0,19403343.0,19852290.154815555,19513102.396212228,471706.6037877723,471706.6037877723,2.3603258044035966,2025,8,August,Low Forecast Error
2025-01-01,2025-01,ferry,1859993.0,1850976.0,1432444.7046695948,1926991.496421096,-66998.49642109592,66998.49642109592,3.6020832562862286,2025,1,January,Low Forecast Error
2025-02-01,2025-02,ferry,1566597.0,1859993.0,2076246.396935463,1981459.271086256,-414862.2710862558,414862.2710862558,26.48174808749511,2025,2,February,High Forecast Error
2025-03-01,2025-03,ferry,1577871.0,1566597.0,2853862.274129629,1530988.9395264057,46882.06047359435,46882.06047359435,2.9712226458052875,2025,3,March,Low Forecast Error
2025-04-01,2025-04,ferry,1662230.0,1577871.0,2523341.1796239614,1511389.0624872672,150840.9375127328,150840.9375127328,9.074612870224506,2025,4,April,Low Forecast Error
2025-05-01,2025-05,ferry,1329564.0,1662230.0,2533914.3135403395,1650429.4696170124,-320865.4696170124,320865.4696170124,24.133134592769693,2025,5,May,High Forecast Error
2025-06-01,2025-06,ferry,1320642.0,1329564.0,1613574.7448794842,1360455.887939153,-39813.887939153006,39813.887939153006,3.0147373731225424,2025,6,June,Low Forecast Error
2025-07-01,2025-07,ferry,1419625.0,1320642.0,1242157.6365092993,1459777.0957525922,-40152.0957525922,40152.0957525922,2.828359302815335,2025,7,July,Low Forecast Error
2025-08-01,2025-08,ferry,1252846.0,1419625.0,1665227.010908246,1498681.5648236552,-245835.5648236552,245835.5648236552,19.622169430532978,2025,8,August,Medium Forecast Error
2025-01-01,2025-01,light rail,3478325.0,3483253.0,3134732.376555681,3368538.878483332,109786.12151666776,109786.12151666776,3.156292799455709,2025,1,January,Low Forecast Error
2025-02-01,2025-02,light rail,3557327.0,3478325.0,3784541.846426249,3211135.180538624,346191.81946137594,346191.81946137594,9.731796358933996,2025,2,February,Low Forecast Error
2025-03-01,2025-03,light rail,4282738.0,3557327.0,4832605.806035519,3393576.212560052,889161.787439948,889161.787439948,20.76152656174503,2025,3,March,High Forecast Error
2025-04-01,2025-04,light rail,4037864.0,4282738.0,5058723.13726151,6965358.216080955,-2927494.216080955,2927494.216080955,72.50106036461246,2025,4,April,High Forecast Error
2025-05-01,2025-05,light rail,3848686.0,4037864.0,4716401.863610625,6591913.139514291,-2743227.1395142907,2743227.1395142907,71.27697971500638,2025,5,May,High Forecast Error
2025-06-01,2025-06,light rail,3772030.0,3848686.0,3940374.387823105,4007449.63707778,-235419.63707777995,235419.63707777995,6.2411920657518625,2025,6,June,Low Forecast Error
2025-07-01,2025-07,light rail,4015116.0,3772030.0,3547397.0257953405,3301330.3706579357,713785.6293420643,713785.6293420643,17.777459713295066,2025,7,July,Medium Forecast Error
2025-08-01,2025-08,light rail,3813183.0,4015116.0,4116019.1735565662,6633535.213807941,-2820352.2138079414,2820352.2138079414,73.9632011841011,2025,8,August,High Forecast Error
2025-01-01,2025-01,metro,5117033.4399999995,5313819.2700000005,5234305.791843891,7477065.554200001,-2360032.1142000016,2360032.1142000016,46.1211000841144,2025,1,January,High Forecast Error
2025-02-01,2025-02,metro,5715461.7,5117033.4399999995,5862769.4830755,5283954.312066669,431507.38793333154,431507.38793333154,7.549825553608932,2025,2,February,Low Forecast Error
