station_flow_id,year,station_id,station_name,morning_entries,morning_exits,midday_entries,midday_exits,evening_entries,evening_exits,night_entries,night_exits,total_entries,total_exits,total_flow,morning_total_flow,midday_total_flow,evening_total_flow,night_total_flow,peak_total_flow,entry_exit_imbalance,bottleneck_score,stop_lat,stop_lon,region,pressure_category
2022_adamstown,2022,adamstown,Adamstown Station,0,0,0,0,0,0,0,0,80,70,150,0,0,0,0,0,10,0.0,-32.93365273,151.72020335,Eastern Sydney,Low Peak Pressure
2022_albion_park,2022,albion_park,Albion Park Station,0,0,0,0,0,0,0,0,190,160,350,0,0,0,0,0,30,0.0,-34.56288179,150.79871523,Western Sydney,Low Peak Pressure
2022_allawah,2022,allawah,Allawah Station,920,160,390,230,310,750,230,530,1850,1670,3520,1080,620,1060,760,2140,180,0.6079545454545454,-33.96972995,151.11454867,Northern Sydney,Medium Peak Pressure
2022_arncliffe,2022,arncliffe,Arncliffe Station,860,140,280,200,290,700,120,300,1550,1340,2890,1000,480,990,420,1990,210,0.6885813148788927,-33.93678246,151.147174,Northern Sydney,Medium Peak Pressure
2022_artarmon,2022,artarmon,Artarmon Station,1600,500,650,610,960,1490,250,750,3460,3350,6810,2100,1260,2450,1000,4550,110,0.6681350954478708,-33.80854241,151.18470089,Southern Sydney,Medium Peak Pressure
2022_ashfield,2022,ashfield,Ashfield Station,3350,1120,1740,1430,2000,3310,920,2040,8010,7900,15910,4470,3170,5310,2960,9780,110,0.6147077309868008,-33.88763777,151.12585123,Northern Sydney,Medium Peak Pressure
2022_asquith,2022,asquith,Asquith Station,610,150,180,90,210,470,50,160,1050,870,1920,760,270,680,210,1440,180,0.75,-33.68852348,151.10820109,Southern Sydney,High Peak Pressure
2022_auburn,2022,auburn,Auburn Station,3550,1810,2780,2190,3220,4020,1990,3060,11540,11080,22620,5360,4970,7240,5050,12600,460,0.5570291777188329,-33.8494301,151.03301684,Western Sydney,Medium Peak Pressure
2022_austinmer,2022,austinmer,Austinmer Station,0,0,0,0,0,0,0,0,80,60,140,0,0,0,0,0,20,0.0,-34.30645714,150.92923261,Western Sydney,Low Peak Pressure
2022_banksia,2022,banksia,Banksia Station,580,80,150,110,170,500,80,170,980,860,1840,660,260,670,250,1330,120,0.7228260869565217,-33.94499641,151.14058914,Northern Sydney,High Peak Pressure
2022_bankstown,2022,bankstown,Bankstown Station,2260,1570,1740,1590,2020,2630,660,1160,6680,6950,13630,3830,3330,4650,1820,8480,-270,0.6221570066030815,-33.91784784,151.03465392,Western Sydney,Medium Peak Pressure
