year_month,year,month,month_name,card_type,transport_mode,trip_count
2020-01-01,2020,1,January,Adult,Bus,12404965.0
2020-01-01,2020,1,January,Adult Single Bus Trip 1,Bus,49458.0
2020-01-01,2020,1,January,Adult Single Bus Trip 2,Bus,25989.0
2020-01-01,2020,1,January,Adult Single Bus Trip 3,Bus,7329.0
2020-01-01,2020,1,January,CTP,Bus,2628423.0
2020-01-01,2020,1,January,Child/Youth,Bus,1611069.0
2020-01-01,2020,1,January,Child/Youth Single Bus Trip 1,Bus,18956.0
2020-01-01,2020,1,January,Child/Youth Single Bus Trip 2,Bus,14724.0
2020-01-01,2020,1,January,Child/Youth Single Bus Trip 3,Bus,5103.0
2020-01-01,2020,1,January,Concession,Bus,910944.0
2020-01-01,2020,1,January,Day Pass Child/Youth w/o SAF,Bus,67.0
2020-01-01,2020,1,January,Day Pass without SAF,Bus,908.0
2020-01-01,2020,1,January,Employee,Bus,86718.0
2020-01-01,2020,1,January,Free Travel,Bus,38216.0
2020-01-01,2020,1,January,On Demand,Bus,25607.0
2020-01-01,2020,1,January,School Student,Bus,336070.0
2020-01-01,2020,1,January,Senior/Pensioner,Bus,3965486.0
2020-01-01,2020,1,January,Adult,Ferry,803124.0
2020-01-01,2020,1,January,CTP,Ferry,232669.0
2020-01-01,2020,1,January,Child/Youth,Ferry,180915.0
2020-01-01,2020,1,January,Concession,Ferry,22170.0
2020-01-01,2020,1,January,Day Pass Child/Youth w/o SAF,Ferry,4.0
2020-01-01,2020,1,January,Day Pass without SAF,Ferry,29.0
2020-01-01,2020,1,January,Employee,Ferry,5270.0
2020-01-01,2020,1,January,Free Travel,Ferry,2192.0
2020-01-01,2020,1,January,School Student,Ferry,914.0
2020-01-01,2020,1,January,Senior/Pensioner,Ferry,208272.0
2020-01-01,2020,1,January,Sgl Trip Ferry Adult,Ferry,48444.0
2020-01-01,2020,1,January,Sgl Trip Ferry Child/Youth,Ferry,18322.0
2020-01-01,2020,1,January,Adult,Light Rail,1287340.0
2020-01-01,2020,1,January,CTP,Light Rail,288022.0
2020-01-01,2020,1,January,Child/Youth,Light Rail,185322.0
2020-01-01,2020,1,January,Concession,Light Rail,59744.0
2020-01-01,2020,1,January,Day Pass Child/Youth w/o SAF,Light Rail,2.0
2020-01-01,2020,1,January,Day Pass without SAF,Light Rail,24.0
2020-01-01,2020,1,January,Employee,Light Rail,3301.0
2020-01-01,2020,1,January,Free Travel,Light Rail,2769.0
2020-01-01,2020,1,January,School Student,Light Rail,5056.0
2020-01-01,2020,1,January,Senior/Pensioner,Light Rail,334259.0
2020-01-01,2020,1,January,Sgl Trip LR Adult,Light Rail,10700.0
2020-01-01,2020,1,January,Sgl Trip LR Child/Youth,Light Rail,4367.0
2020-01-01,2020,1,January,Adult,Metro,1222213.0
2020-01-01,2020,1,January,CTP,Metro,198421.0
2020-01-01,2020,1,January,Child/Youth,Metro,173317.0
2020-01-01,2020,1,January,Concession,Metro,108098.0
2020-01-01,2020,1,January,Day Pass Child/Youth w/o SAF,Metro,2.0
2020-01-01,2020,1,January,Day Pass without SAF,Metro,13.0
2020-01-01,2020,1,January,Employee,Metro,8277.0
2020-01-01,2020,1,January,Free Travel,Metro,1600.0
2020-01-01,2020,1,January,School Student,Metro,9594.0
2020-01-01,2020,1,January,Senior/Pensioner,Metro,130685.0
2020-01-01,2020,1,January,Sgl Trip Rail Adult,Metro,7000.0
2020-01-01,2020,1,January,Sgl Trip Rail Child/Youth,Metro,6226.0
2020-01-01,2020,1,January,Adult,Train,20047422.0
2020-01-01,2020,1,January,CTP,Train,3416625.0
2020-01-01,2020,1,January,Child/Youth,Train,1383839.0
2020-01-01,2020,1,January,Concession,Train,1177198.0
2020-01-01,2020,1,January,Day Pass Child/Youth w/o SAF,Train,66.0
2020-01-01,2020,1,January,Day Pass without SAF,Train,886.0
2020-01-01,2020,1,January,Employee,Train,303539.0
2020-01-01,2020,1,January,Free Travel,Train,29692.0
2020-01-01,2020,1,January,School Student,Train,135534.0
2020-01-01,2020,1,January,Senior/Pensioner,Train,2660591.0
2020-01-01,2020,1,January,Sgl Trip Rail Adult,Train,176497.0
2020-01-01,2020,1,January,Sgl Trip Rail Child/Youth,Train,67572.0
2020-02-01,2020,2,February,Adult,Bus,12587420.0
2020-02-01,2020,2,February,Adult Single Bus Trip 1,Bus,46306.0
2020-02-01,2020,2,February,Adult Single Bus Trip 2,Bus,23497.0
2020-02-01,2020,2,February,Adult Single Bus Trip 3,Bus,6781.0
2020-02-01,2020,2,February,CTP,Bus,2889541.0
2020-02-01,2020,2,February,Child/Youth,Bus,1267671.0
2020-02-01,2020,2,February,Child/Youth Single Bus Trip 1,Bus,11037.0
2020-02-01,2020,2,February,Child/Youth Single Bus Trip 2,Bus,7638.0
2020-02-01,2020,2,February,Child/Youth Single Bus Trip 3,Bus,2825.0
2020-02-01,2020,2,February,Concession,Bus,1322299.0
2020-02-01,2020,2,February,Day Pass Child/Youth w/o SAF,Bus,48.0
2020-02-01,2020,2,February,Day Pass without SAF,Bus,1070.0
2020-02-01,2020,2,February,Employee,Bus,88938.0
2020-02-01,2020,2,February,Free Travel,Bus,39465.0
2020-02-01,2020,2,February,On Demand,Bus,25615.0
2020-02-01,2020,2,February,School Student,Bus,2961680.0
2020-02-01,2020,2,February,Senior/Pensioner,Bus,3924662.0
2020-02-01,2020,2,February,Adult,Ferry,594851.0
2020-02-01,2020,2,February,CTP,Ferry,192978.0
2020-02-01,2020,2,February,Child/Youth,Ferry,47403.0
2020-02-01,2020,2,February,Concession,Ferry,19386.0
2020-02-01,2020,2,February,Day Pass without SAF,Ferry,21.0
2020-02-01,2020,2,February,Employee,Ferry,4206.0
2020-02-01,2020,2,February,Free Travel,Ferry,1854.0
2020-02-01,2020,2,February,School Student,Ferry,6360.0
2020-02-01,2020,2,February,Senior/Pensioner,Ferry,160799.0
2020-02-01,2020,2,February,Sgl Trip Ferry Adult,Ferry,31263.0
2020-02-01,2020,2,February,Sgl Trip Ferry Child/Youth,Ferry,4187.0
2020-02-01,2020,2,February,Adult,Light Rail,1153361.0
2020-02-01,2020,2,February,CTP,Light Rail,288259.0
2020-02-01,2020,2,February,Child/Youth,Light Rail,74902.0
2020-02-01,2020,2,February,Concession,Light Rail,90573.0
2020-02-01,2020,2,February,Day Pass without SAF,Light Rail,61.0
2020-02-01,2020,2,February,Employee,Light Rail,2953.0
2020-02-01,2020,2,February,Free Travel,Light Rail,2461.0
2020-02-01,2020,2,February,School Student,Light Rail,50375.0
2020-02-01,2020,2,February,Senior/Pensioner,Light Rail,279333.0
2020-02-01,2020,2,February,Sgl Trip LR Adult,Light Rail,7394.0
2020-02-01,2020,2,February,Sgl Trip LR Child/Youth,Light Rail,1087.0
2020-02-01,2020,2,February,Adult,Metro,1210442.0
2020-02-01,2020,2,February,CTP,Metro,213212.0
2020-02-01,2020,2,February,Child/Youth,Metro,104015.0
2020-02-01,2020,2,February,Concession,Metro,148953.0
2020-02-01,2020,2,February,Day Pass without SAF,Metro,25.0
2020-02-01,2020,2,February,Employee,Metro,9771.0
2020-02-01,2020,2,February,Free Travel,Metro,1583.0
2020-02-01,2020,2,February,School Student,Metro,95832.0
2020-02-01,2020,2,February,Senior/Pensioner,Metro,107389.0
2020-02-01,2020,2,February,Sgl Trip Rail Adult,Metro,5660.0
2020-02-01,2020,2,February,Sgl Trip Rail Child/Youth,Metro,3213.0
2020-02-01,2020,2,February,Adult,Train,19921172.0
2020-02-01,2020,2,February,CTP,Train,3621285.0
2020-02-01,2020,2,February,Child/Youth,Train,851652.0
2020-02-01,2020,2,February,Concession,Train,1536386.0
2020-02-01,2020,2,February,Day Pass Child/Youth w/o SAF,Train,38.0
2020-02-01,2020,2,February,Day Pass without SAF,Train,1062.0
2020-02-01,2020,2,February,Employee,Train,314197.0
2020-02-01,2020,2,February,Free Travel,Train,31272.0
2020-02-01,2020,2,February,School Student,Train,1164671.0
2020-02-01,2020,2,February,Senior/Pensioner,Train,2533490.0
2020-02-01,2020,2,February,Sgl Trip Rail Adult,Train,159957.0
2020-02-01,2020,2,February,Sgl Trip Rail Child/Youth,Train,33628.0
2020-03-01,2020,3,March,Adult,Bus,9373131.0
2020-03-01,2020,3,March,Adult Single Bus Trip 1,Bus,27590.0
2020-03-01,2020,3,March,Adult Single Bus Trip 2,Bus,13872.0
2020-03-01,2020,3,March,Adult Single Bus Trip 3,Bus,4215.0
2020-03-01,2020,3,March,CTP,Bus,2271222.0
2020-03-01,2020,3,March,Child/Youth,Bus,831831.0
2020-03-01,2020,3,March,Child/Youth Single Bus Trip 1,Bus,6788.0
2020-03-01,2020,3,March,Child/Youth Single Bus Trip 2,Bus,4348.0
2020-03-01,2020,3,March,Child/Youth Single Bus Trip 3,Bus,1689.0
2020-03-01,2020,3,March,Concession,Bus,1281861.0
2020-03-01,2020,3,March,Day Pass Child/Youth w/o SAF,Bus,61.0
2020-03-01,2020,3,March,Day Pass without SAF,Bus,953.0
2020-03-01,2020,3,March,Employee,Bus,74277.0
2020-03-01,2020,3,March,Free Travel,Bus,30754.0
2020-03-01,2020,3,March,On Demand,Bus,19475.0
2020-03-01,2020,3,March,School Student,Bus,2180536.0
2020-03-01,2020,3,March,Senior/Pensioner,Bus,3068966.0
2020-03-01,2020,3,March,Adult,Ferry,379294.0
2020-03-01,2020,3,March,CTP,Ferry,132810.0
2020-03-01,2020,3,March,Child/Youth,Ferry,26660.0
2020-03-01,2020,3,March,Concession,Ferry,14976.0
2020-03-01,2020,3,March,Day Pass without SAF,Ferry,17.0
2020-03-01,2020,3,March,Employee,Ferry,2832.0
2020-03-01,2020,3,March,Free Travel,Ferry,1216.0
2020-03-01,2020,3,March,School Student,Ferry,5374.0
2020-03-01,2020,3,March,Senior/Pensioner,Ferry,95471.0
2020-03-01,2020,3,March,Sgl Trip Ferry Adult,Ferry,16082.0
2020-03-01,2020,3,March,Sgl Trip Ferry Child/Youth,Ferry,2533.0
2020-03-01,2020,3,March,Adult,Light Rail,750599.0
2020-03-01,2020,3,March,CTP,Light Rail,194518.0
2020-03-01,2020,3,March,Child/Youth,Light Rail,36004.0
2020-03-01,2020,3,March,Concession,Light Rail,74522.0
2020-03-01,2020,3,March,Day Pass Child/Youth w/o SAF,Light Rail,1.0
2020-03-01,2020,3,March,Day Pass without SAF,Light Rail,20.0
2020-03-01,2020,3,March,Employee,Light Rail,2236.0
2020-03-01,2020,3,March,Free Travel,Light Rail,1552.0
2020-03-01,2020,3,March,School Student,Light Rail,35191.0
2020-03-01,2020,3,March,Senior/Pensioner,Light Rail,164755.0
2020-03-01,2020,3,March,Sgl Trip LR Adult,Light Rail,4738.0
2020-03-01,2020,3,March,Sgl Trip LR Child/Youth,Light Rail,547.0
2020-03-01,2020,3,March,Adult,Metro,870038.0
2020-03-01,2020,3,March,CTP,Metro,161357.0
2020-03-01,2020,3,March,Child/Youth,Metro,58273.0
