year,station_id,station_name,morning_entries,morning_exits,midday_entries,midday_exits,evening_entries,evening_exits,night_entries,night_exits,total_entries,total_exits,total_flow,morning_total_flow,midday_total_flow,evening_total_flow,night_total_flow,peak_total_flow,entry_exit_imbalance,bottleneck_score
2022,adamstown,Adamstown Station,0,0,0,0,0,0,0,0,80,70,150,0,0,0,0,0,10,0.0
2022,albion_park,Albion Park Station,0,0,0,0,0,0,0,0,190,160,350,0,0,0,0,0,30,0.0
2022,allawah,Allawah Station,920,160,390,230,310,750,230,530,1850,1670,3520,1080,620,1060,760,2140,180,0.6079545454545454
2022,arncliffe,Arncliffe Station,860,140,280,200,290,700,120,300,1550,1340,2890,1000,480,990,420,1990,210,0.6885813148788927
2022,artarmon,Artarmon Station,1600,500,650,610,960,1490,250,750,3460,3350,6810,2100,1260,2450,1000,4550,110,0.6681350954478708
2022,ashfield,Ashfield Station,3350,1120,1740,1430,2000,3310,920,2040,8010,7900,15910,4470,3170,5310,2960,9780,110,0.6147077309868008
2022,asquith,Asquith Station,610,150,180,90,210,470,50,160,1050,870,1920,760,270,680,210,1440,180,0.75
2022,auburn,Auburn Station,3550,1810,2780,2190,3220,4020,1990,3060,11540,11080,22620,5360,4970,7240,5050,12600,460,0.5570291777188329
2022,austinmer,Austinmer Station,0,0,0,0,0,0,0,0,80,60,140,0,0,0,0,0,20,0.0
2022,banksia,Banksia Station,580,80,150,110,170,500,80,170,980,860,1840,660,260,670,250,1330,120,0.7228260869565217
2022,bankstown,Bankstown Station,2260,1570,1740,1590,2020,2630,660,1160,6680,6950,13630,3830,3330,4650,1820,8480,-270,0.6221570066030815
2022,bardwell_park,Bardwell Park Station,0,0,0,0,0,0,0,0,760,700,1460,0,0,0,0,0,60,0.0
2022,bathurst,Bathurst Station,0,0,0,0,0,0,0,0,60,50,110,0,0,0,0,0,10,0.0
2022,beecroft,Beecroft Station,510,130,180,170,230,490,70,170,990,960,1950,640,350,720,240,1360,30,0.6974358974358974
2022,bella_vista,Bella Vista Station,870,340,300,250,510,880,150,320,1830,1790,3620,1210,550,1390,470,2600,40,0.7182320441988951
2022,bellambi,Bellambi Station,0,0,0,0,0,0,0,0,80,60,140,0,0,0,0,0,20,0.0
2022,belmore,Belmore Station,810,170,400,320,330,810,240,370,1780,1670,3450,980,720,1140,610,2120,110,0.6144927536231884
2022,berala,Berala Station,650,80,320,260,190,690,150,250,1310,1280,2590,730,580,880,400,1610,30,0.6216216216216216
2022,beresfield,Beresfield Station,0,0,0,0,0,0,0,0,130,120,250,0,0,0,0,0,10,0.0
2022,berowra,Berowra Station,620,70,120,100,130,540,40,130,910,840,1750,690,220,670,170,1360,70,0.7771428571428571
2022,berry,Berry Station,0,0,0,0,0,0,0,0,50,50,100,0,0,0,0,0,0,0.0
2022,beverly_hills,Beverly Hills Station,650,130,250,150,240,590,140,300,1280,1170,2450,780,400,830,440,1610,110,0.6571428571428571
2022,bexley_north,Bexley North Station,440,50,140,90,110,400,80,190,770,730,1500,490,230,510,270,1000,40,0.6666666666666666
2022,birrong,Birrong Station,400,70,170,110,100,370,60,150,730,700,1430,470,280,470,210,940,30,0.6573426573426573
2022,blackheath,Blackheath Station,0,0,0,0,0,0,0,0,110,110,220,0,0,0,0,0,0,0.0
2022,blacktown,Blacktown Station,3840,2610,2820,2560,3290,4480,1420,2180,11370,11830,23200,6450,5380,7770,3600,14220,-460,0.6129310344827587
2022,blaxland,Blaxland Station,0,0,0,0,0,0,0,0,390,350,740,0,0,0,0,0,40,0.0
2022,bomaderry,Bomaderry Station,0,0,0,0,0,0,0,0,220,160,380,0,0,0,0,0,60,0.0
2022,bondi_junction,Bondi Junction Station,6530,4250,3160,3420,5400,6520,1820,2400,16910,16590,33500,10780,6580,11920,4220,22700,320,0.6776119402985075
2022,bowral,Bowral Station,0,0,0,0,0,0,0,0,150,110,260,0,0,0,0,0,40,0.0
2022,broadmeadow,Broadmeadow Station,230,110,170,130,150,180,80,90,630,510,1140,340,300,330,170,670,120,0.5877192982456141
2022,bulli,Bulli Station,0,0,0,0,0,0,0,0,120,100,220,0,0,0,0,0,20,0.0
2022,burwood,Burwood Station,3810,2380,3260,3210,4040,5130,2050,2800,13160,13520,26680,6190,6470,9170,4850,15360,-360,0.5757121439280359
2022,cabramatta,Cabramatta Station,2100,660,1630,1560,1140,2100,630,1060,5500,5380,10880,2760,3190,3240,1690,6000,120,0.5514705882352942
2022,camellia,Camellia Station,0,0,0,0,0,0,0,0,60,50,110,0,0,0,0,0,10,0.0
2022,campbelltown,Campbelltown Station,2240,610,700,680,810,2260,790,860,4540,4410,8950,2850,1380,3070,1650,5920,130,0.6614525139664804
2022,campsie,Campsie Station,2220,570,1430,1220,1150,2410,780,1370,5580,5570,11150,2790,2650,3560,2150,6350,10,0.5695067264573991
2022,canley_vale,Canley Vale Station,850,140,380,270,310,780,220,430,1760,1620,3380,990,650,1090,650,2080,140,0.6153846153846154
2022,canterbury,Canterbury Station,920,180,420,230,360,780,180,480,1880,1670,3550,1100,650,1140,660,2240,210,0.6309859154929578
2022,cardiff,Cardiff Station,220,60,140,120,90,200,100,80,550,460,1010,280,260,290,180,570,90,0.5643564356435643
