date,rainfall_mm,max_temp,min_temp,is_rainy,weather_category,rainfall_quality,max_temp_quality,min_temp_quality
2020-01-01,0.0,26.2,18.5,False,Clear / Mild,Y,N,N
2020-01-02,0.0,26.6,19.1,False,Clear / Mild,Y,N,N
2020-01-03,0.0,30.9,20.9,False,Hot,Y,N,N
2020-01-04,0.0,43.3,22.1,False,Hot,Y,N,N
2020-01-05,0.0,24.4,20.8,False,Clear / Mild,Y,N,N
2020-01-06,0.0,25.2,19.3,False,Clear / Mild,Y,N,N
2020-01-07,1.8,29.6,20.0,True,Rainy,Y,N,N
2020-01-08,1.6,24.6,21.0,True,Rainy,Y,N,N
2020-01-09,0.0,26.0,20.5,False,Clear / Mild,Y,N,N
2020-01-10,0.0,31.5,21.0,False,Hot,Y,N,N
2020-01-11,0.2,22.5,18.9,True,Rainy,Y,N,N
2020-01-12,0.0,23.3,19.4,False,Clear / Mild,Y,N,N
2020-01-13,1.2,27.1,17.3,True,Rainy,Y,N,N
2020-01-14,0.0,28.5,19.4,False,Clear / Mild,Y,N,N
2020-01-15,0.0,28.7,19.2,False,Clear / Mild,Y,N,N
2020-01-16,4.0,28.5,20.7,True,Rainy,Y,N,N
2020-01-17,32.6,22.6,18.1,True,Heavy Rain,Y,N,N
2020-01-18,14.0,22.8,18.2,True,Heavy Rain,Y,N,N
2020-01-19,3.6,24.9,18.4,True,Rainy,Y,N,N
2020-01-20,0.0,30.0,20.1,False,Hot,Y,N,N
2020-01-21,2.6,30.4,18.9,True,Rainy,Y,N,N
2020-01-22,0.0,32.7,20.7,False,Hot,Y,N,N
2020-01-23,0.0,43.7,22.4,False,Hot,Y,N,N
2020-01-24,0.0,26.6,22.3,False,Clear / Mild,Y,N,N
2020-01-25,1.6,29.4,21.7,True,Rainy,Y,N,N
2020-01-26,0.2,37.7,24.0,True,Rainy,Y,N,N
2020-01-27,0.0,28.4,22.0,False,Clear / Mild,Y,N,N
2020-01-28,0.0,30.0,22.5,False,Hot,Y,N,N
2020-01-29,0.0,27.1,22.5,False,Clear / Mild,Y,N,N
2020-01-30,0.0,31.4,20.3,False,Hot,Y,N,N
2020-01-31,0.0,33.7,23.5,False,Hot,Y,N,N
2020-02-01,0.0,37.6,24.2,False,Hot,N,N,N
2020-02-02,0.0,26.2,23.4,False,Clear / Mild,N,N,N
2020-02-03,27.0,31.2,21.1,True,Heavy Rain,N,N,N
2020-02-04,0.8,24.3,17.8,True,Rainy,N,N,N
2020-02-05,0.2,27.6,18.4,True,Rainy,N,N,N
2020-02-06,2.6,26.2,19.3,True,Rainy,N,N,N
2020-02-07,31.8,22.3,18.7,True,Heavy Rain,N,N,N
2020-02-08,60.0,25.1,18.8,True,Heavy Rain,N,N,N
2020-02-09,77.8,23.7,18.8,True,Heavy Rain,N,N,N
2020-02-10,161.0,28.6,19.2,True,Heavy Rain,N,N,N
2020-02-11,0.2,30.6,20.8,True,Rainy,N,N,N
2020-02-12,0.0,26.7,21.6,False,Clear / Mild,N,N,N
2020-02-13,16.4,27.5,20.9,True,Heavy Rain,N,N,N
2020-02-14,0.0,25.5,21.1,False,Clear / Mild,N,N,N
2020-02-15,0.0,26.3,18.5,False,Clear / Mild,N,N,N
2020-02-16,1.6,25.0,20.1,True,Rainy,N,N,N
2020-02-17,1.2,24.8,20.2,True,Rainy,N,N,N
2020-02-18,0.4,31.8,20.8,True,Rainy,N,N,N
2020-02-19,12.6,30.4,20.3,True,Heavy Rain,N,N,N
2020-02-20,0.0,24.0,18.2,False,Clear / Mild,N,N,N
2020-02-21,0.0,25.8,19.4,False,Clear / Mild,N,N,N
2020-02-22,0.6,23.9,18.0,True,Rainy,N,N,N
2020-02-23,0.8,26.7,19.7,True,Rainy,N,N,N
2020-02-24,0.2,29.0,19.4,True,Rainy,N,N,N
2020-02-25,0.0,30.6,20.9,False,Hot,N,N,N
2020-02-26,0.0,34.3,22.5,False,Hot,N,N,N
2020-02-27,0.0,27.8,19.9,False,Clear / Mild,N,N,N
2020-02-28,0.0,24.5,17.8,False,Clear / Mild,N,N,N
2020-02-29,0.0,28.5,19.0,False,Clear / Mild,N,N,N
2020-03-01,0.0,30.7,19.3,False,Hot,Y,N,N
2020-03-02,0.0,39.6,20.8,False,Hot,Y,N,N
2020-03-03,0.0,21.8,19.8,False,Clear / Mild,Y,N,N
2020-03-04,8.4,26.3,18.4,True,Rainy,Y,N,N
2020-03-05,5.4,24.0,20.0,True,Rainy,Y,N,N
2020-03-06,33.2,26.8,20.8,True,Heavy Rain,Y,N,N
2020-03-07,0.4,23.9,19.2,True,Rainy,Y,N,N
2020-03-08,16.8,21.6,16.8,True,Heavy Rain,Y,N,N
2020-03-09,2.6,22.3,16.3,True,Rainy,Y,N,N
2020-03-10,4.6,23.7,17.1,True,Rainy,Y,N,N
2020-03-11,0.0,25.7,15.9,False,Clear / Mild,Y,N,N
2020-03-12,0.6,26.0,17.6,True,Rainy,Y,N,N
2020-03-13,0.0,27.0,16.5,False,Clear / Mild,Y,N,N
2020-03-14,0.0,19.6,16.8,False,Clear / Mild,Y,N,N
2020-03-15,9.2,20.0,13.1,True,Rainy,Y,N,N
2020-03-16,7.0,21.4,16.1,True,Rainy,Y,N,N
2020-03-17,5.8,23.5,15.5,True,Rainy,Y,N,N
2020-03-18,0.0,27.5,15.0,False,Clear / Mild,Y,N,N
2020-03-19,0.0,32.3,17.4,False,Hot,Y,N,N
2020-03-20,0.0,36.6,20.5,False,Hot,Y,N,N
2020-03-21,0.0,25.1,18.6,False,Clear / Mild,Y,N,N
2020-03-22,0.0,30.0,18.8,False,Hot,Y,N,N
2020-03-23,0.2,22.0,18.6,True,Rainy,Y,N,N
2020-03-24,2.4,22.9,17.0,True,Rainy,Y,N,N
2020-03-25,0.6,23.9,17.8,True,Rainy,Y,N,N
2020-03-26,16.4,21.5,17.5,True,Heavy Rain,Y,N,N
2020-03-27,2.6,23.3,17.5,True,Rainy,Y,N,N
2020-03-28,0.6,24.9,16.3,True,Rainy,Y,N,N
2020-03-29,19.6,25.2,17.3,True,Heavy Rain,Y,N,N
2020-03-30,1.0,27.0,18.9,True,Rainy,Y,N,N
2020-03-31,0.0,25.5,17.7,False,Clear / Mild,Y,N,N
2020-04-01,0.0,25.2,19.8,False,Clear / Mild,N,N,N
2020-04-02,0.0,25.7,19.8,False,Clear / Mild,N,N,N
2020-04-03,4.6,26.1,16.8,True,Rainy,N,N,N
2020-04-04,5.6,27.4,19.2,True,Rainy,N,N,N
2020-04-05,0.0,25.5,12.9,False,Clear / Mild,N,N,N
2020-04-06,0.0,23.2,14.2,False,Clear / Mild,N,N,N
2020-04-07,5.0,20.9,15.6,True,Rainy,N,N,N
2020-04-08,0.6,19.9,15.9,True,Rainy,N,N,N
2020-04-09,0.0,21.0,16.6,False,Clear / Mild,N,N,N
2020-04-10,1.0,23.8,17.2,True,Rainy,N,N,N
2020-04-11,11.4,27.6,13.4,True,Heavy Rain,N,N,N
2020-04-12,0.0,20.5,11.1,False,Clear / Mild,N,N,N
2020-04-13,0.0,22.8,11.2,False,Clear / Mild,N,N,N
2020-04-14,0.0,26.7,13.3,False,Clear / Mild,N,N,N
2020-04-15,0.0,28.4,15.2,False,Clear / Mild,N,N,N
2020-04-16,0.0,27.3,17.6,False,Clear / Mild,N,N,N
2020-04-17,0.0,27.7,17.0,False,Clear / Mild,N,N,N
2020-04-18,0.0,23.3,13.4,False,Clear / Mild,N,N,N
2020-04-19,0.0,21.0,12.1,False,Clear / Mild,N,N,N
2020-04-20,0.0,21.7,13.7,False,Clear / Mild,N,N,N
2020-04-21,0.0,26.6,13.7,False,Clear / Mild,N,N,N
2020-04-22,0.0,26.1,14.1,False,Clear / Mild,N,N,N
2020-04-23,0.0,26.6,13.4,False,Clear / Mild,N,N,N
2020-04-24,0.0,27.7,16.3,False,Clear / Mild,N,N,N
2020-04-25,0.0,27.2,14.5,False,Clear / Mild,N,N,N
2020-04-26,0.0,29.0,13.7,False,Clear / Mild,N,N,N
2020-04-27,0.2,22.7,16.3,True,Rainy,N,N,N
2020-04-28,0.2,24.5,18.8,True,Rainy,N,N,N
2020-04-29,3.0,28.0,17.4,True,Rainy,N,N,N
2020-04-30,0.8,19.8,17.7,True,Rainy,N,N,N
2020-05-01,25.0,18.1,10.0,True,Heavy Rain,N,N,N
2020-05-02,0.0,20.1,12.8,False,Clear / Mild,N,N,N
2020-05-03,0.0,18.2,11.0,False,Clear / Mild,N,N,N
2020-05-04,0.0,17.9,9.9,False,Clear / Mild,N,N,N
2020-05-05,6.2,19.1,12.3,True,Rainy,N,N,N
2020-05-06,0.0,23.8,11.2,False,Clear / Mild,N,N,N
2020-05-07,0.0,25.0,12.0,False,Clear / Mild,N,N,N
2020-05-08,0.0,28.3,15.0,False,Clear / Mild,N,N,N
2020-05-09,0.0,27.2,15.4,False,Clear / Mild,N,N,N
2020-05-10,0.0,18.2,11.5,False,Clear / Mild,N,N,N
2020-05-11,0.0,18.0,7.9,False,Clear / Mild,N,N,N
2020-05-12,0.0,21.5,8.4,False,Clear / Mild,N,N,N
2020-05-13,0.0,20.1,10.0,False,Clear / Mild,N,N,N
2020-05-14,0.0,17.7,9.5,False,Clear / Mild,N,N,N
2020-05-15,2.8,16.1,10.4,True,Rainy,N,N,N
2020-05-16,8.8,19.2,10.0,True,Rainy,N,N,N
2020-05-17,0.0,20.4,9.5,False,Clear / Mild,N,N,N
2020-05-18,0.6,19.1,11.3,True,Rainy,N,N,N
2020-05-19,0.4,22.4,13.9,True,Rainy,N,N,N
2020-05-20,0.0,25.4,12.4,False,Clear / Mild,N,N,N
2020-05-21,0.0,18.2,15.1,False,Clear / Mild,N,N,N
2020-05-22,33.6,16.7,8.9,True,Heavy Rain,N,N,N
2020-05-23,2.4,17.7,11.3,True,Rainy,N,N,N
2020-05-24,0.2,16.9,13.6,True,Rainy,N,N,N
2020-05-25,0.0,16.0,13.4,False,Clear / Mild,N,N,N
2020-05-26,25.0,20.0,13.1,True,Heavy Rain,N,N,N
2020-05-27,0.0,18.4,12.1,False,Clear / Mild,N,N,N
2020-05-28,0.0,21.9,11.4,False,Clear / Mild,N,N,N
2020-05-29,0.2,16.6,11.5,True,Rainy,N,N,N
2020-05-30,6.0,20.7,10.5,True,Rainy,N,N,N
2020-05-31,0.0,22.4,11.6,False,Clear / Mild,N,N,N
2020-06-01,0.0,23.7,12.7,False,Clear / Mild,N,N,N
2020-06-02,3.8,15.9,7.9,True,Rainy,N,N,N
2020-06-03,0.0,17.4,8.6,False,Clear / Mild,N,N,N
2020-06-04,0.6,15.6,10.6,True,Rainy,N,N,N
2020-06-05,0.0,20.1,7.0,False,Clear / Mild,N,N,N
2020-06-06,0.0,19.4,7.3,False,Clear / Mild,N,N,N
2020-06-07,0.0,16.0,7.9,False,Clear / Mild,N,N,N
