feature,importance
lag_1_demand,0.926262695518777
rolling_3m_avg,0.02633137282309327
rolling_6m_avg,0.022968228394899825
lag_3_demand,0.008062710550795767
avg_min_temp,0.00676180188946556
avg_max_temp,0.0021189128824344004
rainy_days,0.0018913807258855691
year,0.0013256674434143582
month_num,0.001174411540171978
avg_rainfall_mm,0.0007590003871269223
total_rainfall_mm,0.0007418467263447176
season_Summer,0.0004133776301725162
transport_mode_Train,0.00028619432788804433
quarter,0.00024164433546443984
season_Autumn,0.00021715365174459445
transport_mode_Bus,0.00017630859599609036
season_Winter,0.0001239207887536713
season_Spring,6.614611010385483e-05
transport_mode_metro,2.417968383875113e-05
transport_mode_bus,1.879242407867664e-05
transport_mode_Light Rail,1.5867470738643116e-05
transport_mode_train,1.1276257846697856e-05
transport_mode_Metro,3.753287438522551e-06
transport_mode_Ferry,2.4142021537302476e-06
transport_mode_light rail,8.498904448202542e-07
transport_mode_ferry,4.9609486343908585e-08
transport_mode_unallocated,4.285144117097732e-08
