month,month_name,transport_mode,avg_monthly_trips
1,January,Bus,884462.4923076923
2,February,Bus,1121153.6825396826
3,March,Bus,1140430.365079365
4,April,Bus,772855.8307692307
5,May,Bus,916765.8636363636
6,June,Bus,892677.7014925373
7,July,Bus,789583.03125
8,August,Bus,879116.4032258064
9,September,Bus,835545.640625
10,October,Bus,929022.03125
11,November,Bus,1010319.6153846154
12,December,Bus,909821.5846153846
1,January,Ferry,89323.48936170213
2,February,Ferry,75361.27272727272
3,March,Ferry,72345.79545454546
4,April,Ferry,74199.26666666666
5,May,Ferry,61495.760869565216
6,June,Ferry,67687.23404255319
7,July,Ferry,58806.204545454544
8,August,Ferry,55857.90909090909
9,September,Ferry,61238.53333333333
10,October,Ferry,73815.02173913043
11,November,Ferry,76900.47826086957
12,December,Ferry,90350.70212765958
1,January,Light Rail,154467.10638297873
2,February,Light Rail,181437.6590909091
3,March,Light Rail,186779.24444444446
4,April,Light Rail,161470.42222222223
5,May,Light Rail,168192.73913043478
6,June,Light Rail,184551.5
7,July,Light Rail,144327.0
8,August,Light Rail,149579.13043478262
9,September,Light Rail,165966.93333333332
10,October,Light Rail,176294.085106383
11,November,Light Rail,182504.44680851063
12,December,Light Rail,189318.41666666666
1,January,Metro,107717.11111111111
2,February,Metro,132018.8409090909
3,March,Metro,145194.38636363635
4,April,Metro,106711.93181818182
5,May,Metro,125625.37777777777
6,June,Metro,120897.64444444445
7,July,Metro,101932.09090909091
8,August,Metro,112451.22727272728
9,September,Metro,107791.11363636363
10,October,Metro,117850.25
11,November,Metro,126941.20454545454
12,December,Metro,121508.86363636363
1,January,Train,1516684.9791666667
2,February,Train,1730990.625
3,March,Train,1779105.3541666667
4,April,Train,1360829.375
5,May,Train,1619312.1276595744
6,June,Train,1588667.7083333333
7,July,Train,1329342.5531914893
8,August,Train,1340934.6666666667
9,September,Train,1344322.8541666667
10,October,Train,1505726.1458333333
11,November,Train,1577460.6458333333
12,December,Train,1549214.2916666667
1,January,bus,1494977.25
2,February,bus,1721951.875
3,March,bus,1839826.3333333333
4,April,bus,1618780.4166666667
5,May,bus,1758474.9166666667
6,June,bus,1565863.8333333333
7,July,bus,1628789.4583333333
8,August,bus,1709447.4583333333
9,September,bus,1675959.0833333333
10,October,bus,1744803.3333333333
11,November,bus,1877842.3636363635
12,December,bus,1573318.0
1,January,ferry,156817.54166666666
2,February,ferry,126533.52
3,March,ferry,138058.0
4,April,ferry,123674.42307692308
5,May,ferry,102805.64
6,June,ferry,106452.16666666667
7,July,ferry,110174.72
8,August,ferry,102462.0
9,September,ferry,106957.38461538461
10,October,ferry,123243.30769230769
11,November,ferry,139059.18181818182
12,December,ferry,142382.76923076922
1,January,light rail,270523.48
2,February,light rail,292990.4
3,March,light rail,316220.3461538461
4,April,light rail,292029.1153846154
5,May,light rail,295243.0
6,June,light rail,262529.1923076923
7,July,light rail,289016.16
8,August,light rail,284132.8461538461
9,September,light rail,290315.5
10,October,light rail,297552.53846153844
11,November,light rail,235487.75
12,December,light rail,267942.53846153844
1,January,metro,269517.2116
2,February,metro,308577.5772
3,March,metro,347301.1683333333
4,April,metro,312720.7924
5,May,metro,329215.6080769231
6,June,metro,323062.6376000001
7,July,metro,317742.8811538461
8,August,metro,390338.1676923077
9,September,metro,410355.3823076923
10,October,metro,492295.72166666674
11,November,metro,420803.5330769232
12,December,metro,408755.3284615385
1,January,train,1650618.9346153846
2,February,train,1893265.0688461536
3,March,train,2097329.4434615388
4,April,train,1871133.356923077
5,May,train,2018556.4692307694
6,June,train,1883553.6092307696
7,July,train,1918640.6830769232
8,August,train,1994222.3661538465
9,September,train,1878106.7023076923
10,October,train,2006226.4553846153
11,November,train,1926929.8876923076
12,December,train,1696018.1330769227
1,January,unallocated,1.0
2,February,unallocated,1.5
3,March,unallocated,2.0
4,April,unallocated,1.6666666666666667
5,May,unallocated,51.61538461538461
6,June,unallocated,7.666666666666667
7,July,unallocated,12.25
