station_name,morning_peak_flow,evening_peak_flow,total_peak_flow,total_flow,peak_flow_share
Berowra Station,1540.0,1460.0,3000.0,3830.0,0.783289817232376
Macquarie Park Station,5090.0,5430.0,10520.0,13480.0,0.7804154302670623
Tempe Station,1580.0,1650.0,3230.0,4140.0,0.7801932367149759
North Sydney Station,29330.0,29640.0,58970.0,77230.0,0.7635633821053994
Warrawee Station,1000.0,1160.0,2160.0,2830.0,0.7632508833922261
Emu Plains Station,1180.0,1260.0,2440.0,3240.0,0.7530864197530864
Tallawong Station,5930.0,5660.0,11590.0,15430.0,0.7511341542449773
Asquith Station,1730.0,1500.0,3230.0,4340.0,0.7442396313364056
Pymble Station,2580.0,2790.0,5370.0,7220.0,0.7437673130193906
Martin Place Station,24560.0,22880.0,47440.0,63790.0,0.7436902335789308
Kellyville Station,4430.0,4460.0,8890.0,11990.0,0.7414512093411176
Waitara Station,3610.0,3670.0,7280.0,9910.0,0.7346115035317861
Jannali Station,2920.0,2780.0,5700.0,7800.0,0.7307692307692307
Hills Showground Station,3350.0,3600.0,6950.0,9560.0,0.7269874476987448
Schofields Station,5020.0,4780.0,9800.0,13500.0,0.725925925925926
Wahroonga Station,2210.0,2300.0,4510.0,6220.0,0.72508038585209
Bella Vista Station,2820.0,3240.0,6060.0,8370.0,0.7240143369175627
North Ryde Station,3220.0,3620.0,6840.0,9470.0,0.7222808870116156
Holsworthy Station,3500.0,3550.0,7050.0,9780.0,0.7208588957055214
Stanmore Station,3600.0,3830.0,7430.0,10340.0,0.718568665377176
