station_name,total_entries,total_exits,total_flow,avg_bottleneck_score
Town Hall Station,145070.0,144890.0,289960.0,0.6175383662246858
Central Station,127820.0,132480.0,260300.0,0.6134726472929746
Wynyard Station,118520.0,124500.0,243020.0,0.7021960281391181
Parramatta Station,65270.0,66860.0,132130.0,0.6813905678013288
Circular Quay Station,55400.0,53810.0,109210.0,0.4503757618440559
Chatswood Station,43210.0,44920.0,88130.0,0.6407404123825038
Redfern Station,39840.0,41770.0,81610.0,0.6688588207368988
Strathfield Station,39250.0,38290.0,77540.0,0.5987350946586746
North Sydney Station,37920.0,39310.0,77230.0,0.7633074053857352
Bondi Junction Station,37340.0,36710.0,74050.0,0.6765371662035078
Martin Place Station,29800.0,33990.0,63790.0,0.7447219534986806
Hurstville Station,31590.0,32170.0,63760.0,0.6043190061283195
Burwood Station,29730.0,30380.0,60110.0,0.5711345643361387
Blacktown Station,25680.0,26630.0,52310.0,0.611171803740864
St Leonards Station,26000.0,26030.0,52030.0,0.7110303462963599
Mascot Station,25350.0,25510.0,50860.0,0.6341974742442186
Auburn Station,25080.0,24040.0,49120.0,0.5600240228216806
Kings Cross Station,23200.0,24240.0,47440.0,0.6341924694292382
Epping Station,21110.0,20910.0,42020.0,0.685810201667283
Hornsby Station,19470.0,19830.0,39300.0,0.671847594130028
