year,transport_mode,total_trips,previous_year_trips,yoy_change,yoy_growth_pct
2020,Bus,119208234.0,,,
2020,Ferry,4768938.0,,,
2020,Light Rail,8804330.0,,,
2020,Metro,8574523.0,,,
2020,Train,141088821.0,,,
2021,Bus,98938958.0,119208234.0,-20269276.0,-17.003251637802133
2021,Ferry,3910464.0,4768938.0,-858474.0,-18.00136634194028
2021,Light Rail,11211035.0,8804330.0,2406705.0,27.335470160705018
2021,Metro,8514213.0,8574523.0,-60310.0,-0.7033627409944553
2021,Train,120607098.0,141088821.0,-20481723.0,-14.516899960486594
2022,Bus,107689502.0,98938958.0,8750544.0,8.84438665707395
2022,Ferry,6465846.0,3910464.0,2555382.0,65.34728359601316
2022,Light Rail,15832120.0,11211035.0,4621085.0,41.21907566964156
2022,Metro,10271071.0,8514213.0,1756858.0,20.634414478472642
2022,Train,132572629.0,120607098.0,11965531.0,9.921083583322766
2023,Bus,149723276.0,107689502.0,42033774.0,39.032378476408965
2023,Ferry,9946360.0,6465846.0,3480514.0,53.82921275885631
2023,Light Rail,24443775.0,15832120.0,8611655.0,54.39356826502073
2023,Metro,14906572.0,10271071.0,4635501.0,45.131622593203765
2023,Train,191544432.0,132572629.0,58971803.0,44.482638267662324
2024,Bus,159899986.0,149723276.0,10176710.0,6.797012643511755
2024,Ferry,11907429.0,9946360.0,1961069.0,19.716449032610925
2024,Light Rail,27916756.0,24443775.0,3472981.0,14.208038651967628
2024,Metro,17831094.15,14906572.0,2924522.1499999985,19.619012003564595
2024,Train,212909130.52,191544432.0,21364698.52000001,11.153912591935853
2025,Bus,160214691.0,159899986.0,314705.0,0.19681365075291501
2025,Ferry,11989368.0,11907429.0,81939.0,0.6881334333381287
2025,Light Rail,30805269.0,27916756.0,2888513.0,10.346879128792757
2025,Metro,47820802.440000005,17831094.15,29989708.290000007,168.1877064734135
2025,Train,185601187.70000002,212909130.52,-27307942.819999993,-12.826102268749235
